,size,Scipy_cpu_hd_cpu_min,Scipy_cpu_hd_cpu_std,Scipy_cpu_hd_gpu_min,Scipy_cpu_hd_gpu_std
0,8,97000,32774.481597730875,351300,214977.0802825036
1,343,127100,26305.492909086497,407400,100122.71037237256
2,1728,261300,53605.92153820322,588100,133128.60513218035
3,4913,563700,85086.65535270498,953000,115456.32411951284
4,12167,1243500,160995.1737377242,1717300,324782.9600271541
5,21952,2156400,207388.88083588282,3127000,609920.3960975892
6,35937,3702700,498937.76168527274,4659000,381322.64856101846
7,54872,6246700,747527.8761816913,7330100,505516.8085019429
8,85184,9938300,1521022.5945461001,11401600,656614.0301651724
9,117649,15771000,2577740.333183075,17055400,758796.690754513
10,157464,22833700,2803686.4049398676,23173500,1023859.0727629658
11,205379,30716200,3307460.732473598,30660800,1572670.090531994
12,274625,42172800,9739238.28193805,42687700,6565310.567286144
13,343000,54176100,4500388.521871896,53190800,1835845.7057624315
14,421875,67626100,5231595.234905759,65476900,2159404.4712692224
15,512000,84365900,6398614.0730772,81470800,2324660.448411776
16,636056,103281700,20612499.045952883,100101700,3054794.688657932
17,753571,121487100,8626739.292201772,118077900,3128232.1895816876
18,884736,157547800,9711483.073130157,149594500,18509196.972811062
19,1030301,170842400,10191317.622964045,163372900,4699956.838492881
20,1225043,205612900,24159949.344577685,199431900,7272754.210616025
21,1404928,242973800,13041509.46674646,225357400,23893781.088893153
22,1601613,271413100,25127621.096882522,256163400,18317310.82307163
23,1815848,296623700,14425308.259066245,291872900,18900800.04116649
24,2097152,448310500,39650979.31159531,451949400,9915574.828970028
