,sizes_2D,dt_min_cpu_2D,dt_std_cpu_2D
0,1,15600.0,28238.01953125
1,121,20700.0,10412.7978515625
2,441,34000.0,2647.255615234375
3,961,51500.0,4399.962890625
4,1681,80600.0,36737.32421875
5,2601,123500.0,39487.73828125
6,3721,170900.0,36495.2890625
7,5041,236300.0,48249.0078125
8,6561,301500.0,45721.9296875
9,8281,370200.0,50282.625
10,10201,467600.0,44914.58984375
11,12321,552300.0,38278.49609375
12,14641,677700.0,46122.7265625
13,17161,785900.0,46076.39453125
14,19881,896700.0,119583.8984375
15,22801,1026300.0,118625.421875
16,25921,1156800.0,145552.765625
17,29241,1328200.0,135363.3125
18,32761,1467100.0,195881.5625
19,36481,1647000.0,193987.28125
20,40401,1869100.0,187178.328125
21,44521,2054400.0,159280.640625
22,48841,2268700.0,168525.3125
23,53361,2413800.0,188858.53125
24,58081,2596000.0,210801.3125
25,63001,2811700.0,214502.6875
26,68121,3225400.0,326928.5625
27,73441,3484700.0,294712.875
28,78961,3771600.0,360981.0
29,84681,4198600.0,295870.53125
30,90601,4561500.0,295486.71875
31,96721,4566600.0,383763.75
32,103041,4834300.0,387758.65625
33,109561,5143300.0,342551.5
34,116281,5973600.0,409647.84375
35,123201,6515600.0,403021.4375
36,130321,6341000.0,521997.25
37,137641,7403800.0,494145.75
38,145161,8122200.0,629139.375
39,152881,8308300.0,637939.8125
40,160801,8717100.0,632670.1875
41,168921,9460200.0,620570.4375
42,177241,9776500.0,738806.5625
43,185761,10281600.0,658904.9375
44,194481,10589300.0,709110.125
45,203401,11121600.0,650901.0625
46,212521,12044600.0,776017.8125
47,221841,12299000.0,765905.5
48,231361,12808800.0,829385.5
49,241081,13403600.0,2212261.25
50,251001,14678400.0,3345153.25
