size,Maurer_cpu_hd_cpu_min,Maurer_cpu_hd_cpu_std,Maurer_cpu_hd_gpu_min,Maurer_cpu_hd_gpu_std,Wenbo_cpu_hd_cpu_min,Wenbo_cpu_hd_cpu_std,Wenbo_gpu_hd_gpu_min,Wenbo_gpu_hd_gpu_std
8,1250.0,287.74886823776944,246700.0,78654.08408078161,85800.0,2.9207283293460053e6,307500.0,2.7595853118411233e6
343,26700.0,248395.09989973437,289600.0,1.122469629534528e6,95600.0,9.024791462128757e6,297400.0,582917.9490656689
1728,189700.0,1.516204305726268e6,548900.0,1.6439654270866679e6,142500.0,5.778967550743863e6,348800.0,236659.47777142262
5832,350300.0,1.1478067565710756e6,745500.0,1.2024238052761469e6,264600.0,1.0179367211586814e7,580000.0,2.1226550864761737e6
12167,519500.0,1.3271646891239781e6,1.4239e6,7.670010248670418e6,333300.0,7.05761110647832e6,432900.0,369133.2179672708
21952,769400.0,1.3707031866534648e6,1.4127e6,1.5052638219921615e6,394000.0,5.315062543174211e6,345100.0,159934.36751541175
39304,1.4567e6,1.501356401527497e6,2.4171e6,1.7223883697568579e6,546100.0,5.812516011671717e6,326000.0,125096.74464719751
59319,2.14e6,2.877868524989415e6,3.688e6,3.132359830376273e6,694500.0,6.621891940344287e6,294500.0,1.1564015583765311e6
85184,2.7905e6,3.505855344863716e6,4.6425e6,3.351143326603845e6,890200.0,6.596679547741693e6,291300.0,821775.1582270332
117649,3.9387e6,3.110073322573723e6,6.4826e6,3.0511602014284353e6,1.096e6,5.2924689143125415e6,292300.0,887408.9204649058
157464,5.3765e6,3.7493098635634216e6,8.5165e6,3.8530447921925606e6,1.2997e6,5.4647313414095035e6,284300.0,908662.3215589495
216000,6.858e6,3.9750909656093447e6,1.06014e7,3.790501922106481e6,1.7677e6,6.832529561199196e6,300300.0,993458.2885094112
274625,9.2793e6,4.0998029024572503e6,1.36508e7,4.253484653681567e6,2.2205e6,5.788466925722997e6,420900.0,1.348238004822658e6
343000,1.1354e7,4.407038897462611e6,1.59214e7,4.378797832374059e6,2.5677e6,6.556401862809955e6,471000.0,710747.305861735
438976,1.55358e7,5.692161634748249e6,1.93866e7,5.484583501262265e6,3.1651e6,5.835694112256331e6,629400.0,583686.9072343679
531441,1.77804e7,4.957694440005316e6,2.37567e7,5.061789108323988e6,3.7469e6,5.317225835187576e6,769100.0,551629.2218234851
636056,2.1133e7,4.927881161268902e6,3.43513e7,9.785749549658755e6,4.3358e6,5.543064335276629e6,840600.0,3.3743804746618248e6
753571,2.49096e7,5.47414975009076e6,3.24266e7,5.299168433285451e6,5.1383e6,5.204087686934326e6,1.0464e6,488902.2405496247
884736,2.87375e7,5.203140716852532e6,3.79805e7,5.94743103901265e6,6.1195e6,5.667742080550724e6,1.0834e6,1.226780412773805e6
1061208,3.54629e7,6.150568518714033e6,4.52102e7,6.233406704284195e6,6.8331e6,5.196740558618243e6,1.3338e6,498021.94574668404
1225043,4.06454e7,6.821020022564389e6,5.20069e7,6.883641856228091e6,7.6542e6,5.150861389658854e6,1.5943e6,474596.46064018214
1404928,4.58268e7,6.746193503404886e6,5.89809e7,6.979937727780562e6,9.1379e6,5.026881260955392e6,1.7752e6,636664.0004933326
1643032,5.46817e7,7.369614784096608e6,6.91734e7,7.888601667323365e6,1.01604e7,4.905043422620981e6,2.2044e6,724994.9307892823
1860867,6.15711e7,8.61764375559032e6,7.8758e7,7.586320620438605e6,1.16112e7,5.992869066397468e6,2.6245e6,637245.3706618279
2097152,6.85248e7,8.85646365386657e6,8.74491e7,8.286566359699792e6,1.51095e7,5.43331298153757e6,2.9875e6,828521.0649443979
