sizes_loss_3D,dice_minimum_3D,dice_std_3D,dice_minimum_gpu_3D,dice_std_gpu_3D,hausdorff_minimum_3D,hausdorff_std_3D,hausdorff_minimum_gpu_3D,hausdorff_std_gpu_3D
1.0,95.15789473684211,320.5856659881643,96.00840336134453,316.3303940523464,46.612740141557126,178.07541006699975,91300.0,18693.277746764787
1331.0,2622.222222222222,10720.178599983883,2622.222222222222,11002.989985226282,1390.0,7330.147627760334,116000.0,24381.130191263503
9261.0,14300.0,92142.65545960037,14700.0,101498.62371576042,10300.0,59720.28851822864,118700.0,28470.489061558823
32768.0,27500.0,140131.26106930207,29700.0,141691.97891017114,33200.0,91934.02368563396,107000.0,25643.007561003393
74088.0,84000.0,227646.9436591223,84900.0,230383.10708829676,72600.0,148944.82935779818,112000.0,30599.45952363724
140608.0,169500.0,322875.3153138968,169600.0,313871.37337975955,135500.0,189899.33160394215,88000.0,30189.732200271876
238328.0,304200.0,407290.4763352388,302800.0,404890.5607223263,232900.0,237863.20178786374,98900.0,24780.089093008646
373248.0,747200.0,847265.3131162445,745000.0,838826.5594046911,461800.0,514592.57326447894,122600.0,38175.391079704845
551368.0,1.2001e6,974741.4109321269,1.2081e6,992720.6764034921,707700.0,602771.6288831792,154100.0,1.1306785558611013e6
804357.0,1.7855e6,1.1208743066680522e6,1.7796e6,1.1260577812537241e6,1.0595e6,706063.8341745037,201900.0,228988.61181343038
1.092727e6,2.4663e6,1.2211039307159132e6,2.4649e6,1.2334150267610347e6,1.4733e6,805922.4101742596,257200.0,1.1108404059904905e6
1.442897e6,3.3465e6,1.3603103633134153e6,3.3321e6,1.2874721947604686e6,1.9589e6,981197.0460939059,354600.0,188138.37135956544
1.860867e6,4.3356e6,1.396650405378093e6,4.3303e6,1.4104663301558816e6,2.5458e6,1.0300151523124868e6,427200.0,1.6157276489164452e6
2.352637e6,5.9371e6,1.62219080411511e6,5.5745e6,1.3559474777088265e6,3.2724e6,1.0415227492568813e6,484800.0,276780.949214465
2.985984e6,7.1119e6,1.3469865212931093e6,7.096e6,1.1381809448992165e6,4.0989e6,1.1653393150126284e6,598100.0,72759.78170477855
3.652264e6,8.7326e6,1.2577764193152392e6,8.7626e6,1.2762859228887232e6,5.0181e6,1.27630063356574e6,696200.0,87278.14886923811
4.410944e6,1.28246e7,435346.82420299883,1.28195e7,459309.7177222787,6.1483e6,1.2601868871178292e6,875500.0,95228.86347298921
5.268024e6,1.44311e7,815030.8697022618,1.50793e7,519217.9172661038,7.2392e6,1.4513171824688578e6,1.0107e6,90181.28754067146
6.229504e6,1.63263e7,1.3263824304725658e6,1.71779e7,1.3605382595831994e6,8.5867e6,1.4148067418414396e6,1.1309e6,170209.95624313134
7.301384e6,1.9514e7,1.587671321755011e6,1.88243e7,1.5326607693267218e6,1.00554e7,1.3847651384876822e6,1.3538e6,146551.02184326376
8.615125e6,2.26972e7,1.9533700466459692e6,2.21781e7,1.5593182001819152e6,1.20243e7,1.54979488509755e6,1.5839e6,544863.316090206
9.938375e6,2.57365e7,1.6962068723733295e6,2.66553e7,1.6767498010369337e6,1.37783e7,1.6901765034628327e6,1.755e6,134522.8300946156
1.1390625e7,2.90744e7,1.8808221656151642e6,2.91779e7,1.8446828053529789e6,1.57889e7,1.9127757121385264e6,2.0096e6,150397.38914847386
1.2977875e7,3.63053e7,810972.2504585342,3.55444e7,1.789137151261503e6,1.98974e7,369401.3723459065,2.2437e6,301270.4899596189
1.4706125e7,4.0149e7,962992.4076604203,4.46079e7,1.1366532106750155e7,2.22668e7,555908.4403196265,2.4819e6,1.3159096458366197e6
1.6777216e7,5.73718e7,2.596763665266274e6,5.03098e7,1.2389524372170211e6,2.58866e7,740477.6891997342,2.8604e6,543142.3557668902
1.8821096e7,5.28182e7,1.6160904985576994e6,5.23939e7,1.9224044601735233e6,2.87693e7,546119.7177087208,3.3008e6,248796.937027188
2.1024576e7,5.82356e7,717909.1109877632,5.84253e7,1.2012770661178445e6,3.10065e7,582778.3832529653,3.5852e6,264530.78471688705
2.3393656e7,6.77636e7,2.646944806987162e6,6.316e7,1.2805679694701992e6,3.43224e7,1.2325429504984492e6,3.9428e6,1.4524975485895092e6
2.5934336e7,6.98482e7,1.153249429173385e6,7.18961e7,976077.5777376704,3.75273e7,561470.4771318409,4.3753e6,773246.6388667686
2.8652616e7,7.71891e7,1.2225853273226968e6,7.70158e7,3.1839039323286866e6,4.08525e7,1.8400952207529545e6,4.7341e6,301633.0176263276
3.1855013e7,8.69487e7,1.506179696613444e6,8.68243e7,1.0721902944073798e6,4.62534e7,822712.0115956509,5.3384e6,372785.05893666856
3.4965783e7,9.6567e7,1.6492723380843042e6,9.49322e7,3.719526491220967e6,5.0979e7,799883.9002802785,5.8265e6,399479.93150689895
3.8272753e7,1.030343e8,4.483236967431783e6,1.023453e8,2.06923391559049e6,5.53721e7,1.1690069507928756e6,6.3513e6,505953.8930500811
4.1781923e7,1.127997e8,1.8243446760144967e6,1.140977e8,1.8108710329596072e6,6.20167e7,722582.4056144106,6.8782e6,518013.7623300246
4.5499293e7,1.31444e8,2.3602492045234903e6,1.221927e8,2.3209064344446673e6,6.97211e7,2.4960548360804287e6,7.4147e6,468461.82576610777
4.9430863e7,1.317745e8,3.302894381675902e6,1.523685e8,6.110365842632211e6,7.18317e7,8.460520229218232e6,7.9343e6,406540.7111216781
5.4010152e7,1.45015e8,3.274250773522696e6,1.446442e8,4.031710662210886e6,7.86652e7,1.0365871777380074e6,8.9663e6,303536.83041445154
5.8411072e7,1.558417e8,3.4749288774909754e6,1.602486e8,3.450931271781804e6,8.42033e7,2.0374808009836818e6,9.7612e6,277488.2341408012
6.3044792e7,1.668094e8,4.745191824876186e6,1.66873e8,4.650346515453355e6,9.57942e7,1.2099388321674478e6,1.02927e7,409830.63688310323
6.7917312e7,1.847166e8,7.829410592581555e6,1.945421e8,6.798527655751242e6,1.040561e8,2.799117024568571e6,1.08976e7,1.7672340299488558e6
7.3034632e7,2.108258e8,1.055290281089168e7,1.950138e8,8.927357195134833e6,1.059573e8,4.331607349983338e6,1.14591e7,6.8654117137968745e6
7.8953589e7,2.126007e8,1.0471544356092803e7,2.113667e8,7.513505402866545e6,1.148818e8,2.1825939735502913e6,1.25433e7,3.084758893963401e6
8.4604519e7,2.265328e8,8.310119820473804e6,2.280408e8,8.709402266657349e6,1.212541e8,1.993386621845754e6,1.35648e7,331012.83050563437
9.0518849e7,2.447104e8,9.67834313924381e6,2.459528e8,9.605207458363542e6,1.297731e8,2.2927488165470236e6,1.43669e7,343853.5145180636
9.6702579e7,2.623904e8,1.1389616467558872e7,2.614393e8,1.0752231172173193e7,1.403799e8,2.406071564009758e6,1.57883e7,457982.51425422303
1.03161709e8,2.820575e8,1.2102179742438616e7,2.959522e8,9.462105456177993e6,1.504964e8,3.1824865222601984e6,1.62681e7,2.4687776731629022e6
1.09902239e8,3.621915e8,2.1005737355583172e7,3.15224e8,1.037617740256612e7,1.600172e8,4.071103247453762e6,1.72876e7,507321.2920096237
1.17649e8,3.237921e8,1.6034881507549528e7,3.265072e8,1.4235526414713684e7,1.697208e8,5.128807639202607e6,1.87382e7,345484.4731695449
1.25e8,3.461898e8,1.9141436982519604e7,3.477455e8,2.1026675941865627e7,1.794137e8,5.183340587233938e6,2.02875e7,343288.44965108193
1.32651e8,3.760441e8,2.0126845091817047e7,3.828135e8,1.5217628188115994e7,1.912775e8,8.064155980006923e6,2.0928e7,537234.6251465443
